Country,Genre,Radio ID,Radio logo,Radio Name,Stream URL
CO,Latin,11008,123-vallenato.jpg,123 Vallenato,http://radiolatina.info:7087
NL,Country,22216,4allsounds.jpg,4Allsounds,http://www.englandproxy.co.uk/streaming.radionomy.com/4allsounds?type=.mp3/;stream.mp3
CY,50s,11604,50s-all-time-greatest.jpg,50s All Time Greatest,http://www.englandproxy.co.uk/listen.radionomy.com/50salltimegreatest
CY,60s,11605,60s-all-time-greatest.jpg,60s All Time Greatest,http://www.englandproxy.co.uk/listen.radionomy.com/AllTimeGreatestRadio?type=.mp3/;stream.mp3
CY,90s,11609,90s-all-time-greatest.jpg,90s All Time Greatest,http://www.englandproxy.co.uk/listen.radionomy.com/90salltimegreatest
US,Rock,1967,91-the-call-radio.jpg,91 The Call Radio,http://74.208.214.139:8000/callfm.mp3
UK,Oldies,110,aazo-radio-all-the-time.jpg,AAZO Radio All The Time,http://77.67.46.74:8000/aazoradio-top1000.mp3?type=.mp3/;stream.mp3
UK,Rock,130,abnormally-dead-air.jpg,Abnormally Dead Air,http://199.101.51.168:8006/;stream.mp3
FR,80s,15679,all-80s-fm.jpg,All 80s FM,http://www.englandproxy.co.uk/streaming.radionomy.com/all80s?type=.mp3/;stream.mp3
IE,80s,1610,all-80s-jukebox.jpg,All 80s Jukebox,http://109.169.26.139:8432/;stream.mp3
US,80s,2110,all-80s-music-show.jpg,All 80s Music Show,http://www.englandproxy.co.uk/streaming.radionomy.com/All80-sMusicShow
IE,80s,1611,all-80s-radio.jpg,All 80s Radio,http://109.169.26.139:8432/;
US,Classic,2111,all-classical-portland.jpg,All Classical Portland,http://allclassical-ice.streamguys.com/ac96kmp3?type=.mp3/;stream.mp3
FR,Community,15680,all-dance-radio.jpg,All Dance Radio,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL0VsaXVtLUNsdWJEYW5jZQ%3D%3D
NL,Jazz,22239,all-day-jazz.jpg,All Day Jazz,http://adj-dnas-eu.alldayjazz.nl:8000/stream1?type=.mp3/;stream.mp3
LK,Hip Hop,20884,all-day-play.jpg,All Day Play,http://69.89.76.34:8000/;stream.mp3
UK,Music,151,all-fm.jpg,ALL FM,http://icecast.commedia.org.uk:8000/allfm.mp3
NO,Music,23107,all-free-nepali-geet.jpg,All Free Nepali Geet,http://192.190.84.25:9956/;
IE,60s,1612,all-gold.jpg,All Gold,http://185.7.81.180:80/;
UK,Hits,152,all-hit-radio-uk.jpg,All Hit Radio UK,http://5.135.191.40:8012/stream?type=.mp3/;stream.mp3
US,Pop,2112,all-hits-station.jpg,All Hits Station,http://usa12.fastcast4u.com:5200/1
HU,Classic,18914,all-in-classic.jpg,All In Classic,http://adas.allinparty.hu:8430/hq
BG,Music,8936,all-in-one-music-radio.jpg,All In One Music Radio,http://streaming.radionomy.com/AllInOneMusic?type=.mp3/;stream.mp3
HU,Dance,18915,all-in-party-radio.jpg,All In Party Radio,http://adas.allinparty.hu:8430/hq
IE,Pop,1613,all-irish-radio.jpg,All Irish Radio,http://144.217.180.30:8107/;
FR,Jazz,15681,all-jazz-radio.jpg,All Jazz Radio,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL0FsbC1KYXp6LVJhZGlv
US,Classic,2113,all-mozart-on-wide-radius.jpg,All Mozart on Wide Radius,http://www.englandproxy.co.uk/listen.radionomy.com/AllMozartonWideRadius?type=.mp3/;stream.mp3
US,Hits,2114,all-noise-radio-music.jpg,All Noise Radio Music,http://listen.spacial.com/api/listen/?sid=72070&method=sc?type=.mp3/;stream.mp3
UK,Hits,153,all-party-hits-uk.jpg,All Party Hits UK,http://allpartyhitsuk.asliveaudio.net:8000/;stream.mp3
FR,Music,15682,all-piano-radio.jpg,All Piano Radio,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL0FsbC1QaWFuby1SYWRpbz90eXBlPS5tcDMvO3N0cmVhbS5tcDM%3D&hl=2ed
BR,Hits,9112,all-quiet-storm-radio.jpg,All Quiet Storm Radio,http://www.englandproxy.co.uk/listen.radionomy.com/allquietstorm
MT,Alternative,21283,all-rock-malta.jpg,All Rock Malta,http://209.95.50.189:8296/;
HU,60s,18916,all-star-radio.jpg,All Star Radio,http://158.58.169.99:6555/retro.mp3
US,Comedy,2115,all-things-comedy.jpg,All Things Comedy,http://tunein.streamguys1.com/ATC
CY,70s,11610,all-time-70s-80s-greatest.jpg,All Time 70s 80s Greatest,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL0FsbFRpbWU3MHM4MHNHcmVhdGVzdA%3D%3D
CY,60s,11611,all-time-greatest-radio.jpg,All Time Greatest Radio,http://listen.radionomy.com/90salltimegreatest
ZA,60s,27894,all-time-radio.jpg,All Time Radio,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL1RvdGFsbHlSYWRpb0Vhc3k%3D
TR,Mix,26601,allahu-akbar.jpg,Allahu Akbar,http://66.45.232.132:9996/;stream.mp3
BE,Dance,8527,allectro-radio.jpg,Allectro Radio,http://www.englandproxy.co.uk/listen.radionomy.com/allectro-radio?type=.mp3/;stream.mp3
FR,Classic,15683,allegro.jpg,Allegro,http://listen.radionomy.com/allegro
US,Classic,2116,allegro-fm.jpg,Allegro FM,http://192.254.105.36:8080/broadwavehigh.mp3?src=1?type=.mp3/;stream.mp3
FR,Classic,15684,allegro-musics.jpg,Allegro Musics,http://airtime.allegromusics.com:8000/radio?type=.mp3/;stream.mp3
HT,Community,18755,alleluia-fm-haiti-98-9.jpg,Alleluia FM Haiti 98.9,http://198.50.158.196:8040/stream
NL,Local,22240,alles-plat.jpg,Alles Plat,http://icecast.omroep.nl/rtvoost-allesplat-mp3?type
BE,Hits,8528,allez-foute-ambiance.jpg,Allez Foute Ambiance,http://www.englandproxy.co.uk/streaming.radionomy.com/ALLEZ-FOUTE-AMBIANCE?ad=radionoweb?type=.mp3/;stream.mp3
DE,Music,11862,allgaeuhit.jpg,Allgaeuhit,http://allgaeuhit-stream.de/allgaeuhit
MG,Community,21195,alliance-92-fm.jpg,Alliance 92 FM,http://41.188.43.211:8000/alliance92.mp3?type=.mp3/;stream.mp3
SN,Culture,26302,allodakar-radio.jpg,Allodakar Radio,http://68.168.101.146:8520/;stream.mp3
SE,Talk,25834,allswell-radio.jpg,Allswell Radio,http://cast1.citrus3.com:2199/start/allswellradio/
NL,Entertainment,22241,alltime-oldies.jpg,Alltime Oldies,http://naxos.cdnstream.com/1296_128?type=.mp3/;stream.mp3
US,50s,2117,alltime-oldies-radio.jpg,Alltime Oldies Radio,http://naxos.cdnstream.com/1296_128?type=.mp3/;stream.mp3
FR,Club,15685,allure-club.jpg,Allure Club,http://37.187.59.149:8007/stream/;
FR,Oldies,15686,allzic-annees-50.jpg,Allzic Annees 50,http://allzic29.ice.infomaniak.ch/allzic29.mp3?type=.mp3/;stream.mp3
FR,80s,15687,allzic-annees-80.jpg,Allzic Annees 80,http://allzic08.ice.infomaniak.ch/allzic08.mp3?type=.mp3/;stream.mp3
FR,90s,15688,allzic-annees-90.jpg,Allzic Annees 90,http://allzic24.ice.infomaniak.ch/allzic24.mp3?type=.mp3/;stream.mp3
FR,Blues,15689,allzic-black-music.jpg,Allzic Black Music,http://allzic04.ice.infomaniak.ch/allzic04.mp3?type=.mp3/;stream.mp3
FR,Blues,15690,allzic-blues.jpg,Allzic Blues,http://allzic09.ice.infomaniak.ch/allzic09.mp3?type=.mp3/;stream.mp3
FR,Pop,15691,allzic-brazil.jpg,Allzic Brazil,http://allzic19.ice.infomaniak.ch/allzic19.mp3?type=.mp3/;stream.mp3
FR,Classic,15692,allzic-classic.jpg,Allzic Classic,http://allzic06.ice.infomaniak.ch/allzic06.mp3?type=.mp3/;stream.mp3
FR,Music,15693,allzic-comptines.jpg,Allzic Comptines,http://allzic05.ice.infomaniak.ch/allzic05.mp3?type=.mp3/;stream.mp3
FR,Dance,15694,allzic-dance-floor.jpg,Allzic Dance Floor,http://allzic07.ice.infomaniak.ch/allzic07.mp3?type=.mp3/;stream.mp3
FR,Disco,15695,allzic-deep-disco.jpg,Allzic Deep Disco,http://allzic31.ice.infomaniak.ch/allzic31.mp3?type=.mp3/;stream.mp3
FR,Community,15696,allzic-enfant-712-ans.jpg,Allzic Enfant 712 Ans,http://allzic16.ice.infomaniak.ch/allzic16.mp3?type=.mp3/;stream.mp3
FR,Music,15697,allzic-enfoires.jpg,Allzic Enfoires,http://allzic12.ice.infomaniak.ch/allzic12.mp3?type=.mp3/;stream.mp3
FR,Culture,15698,allzic-faire-la-fete.jpg,Allzic Faire la Fete,http://allzic26.ice.infomaniak.ch/allzic26.mp3?type=.mp3/;stream.mp3
FR,Music,15699,allzic-fitness.jpg,Allzic Fitness,http://allzic13.ice.infomaniak.ch/allzic13.mp3?type=.mp3/;stream.mp3
FR,Funk,15700,allzic-funk.jpg,Allzic Funk,http://allzic08.ice.infomaniak.ch/allzic11.mp3?type=.mp3/;stream.mp3
FR,Classic,15701,allzic-golds-francais.jpg,Allzic Golds Francais,http://allzic30.ice.infomaniak.ch/allzic30.mp3?type=.mp3/;stream.mp3
FR,Rock,15702,allzic-gothique.jpg,Allzic Gothique,http://allzic27.ice.infomaniak.ch/allzic27.mp3?type=.mp3/;stream.mp3
FR,Rock,15703,allzic-hard-and-heavy.jpg,Allzic Hard and Heavy,http://allzic18.ice.infomaniak.ch/allzic18.mp3?type=.mp3/;stream.mp3
FR,Music,15704,allzic-humour.jpg,Allzic Humour,http://allzic25.ice.infomaniak.ch/allzic25.mp3?type=.mp3/;stream.mp3
FR,Music,15705,allzic-interactive.jpg,Allzic Interactive,http://allzic20.ice.infomaniak.ch/allzic20.mp3?type=.mp3/;stream.mp3
FR,Jazz,15706,allzic-jazz-lounge.jpg,Allzic Jazz Lounge,http://allzic03.ice.infomaniak.ch/allzic03.mp3?type=.mp3/;stream.mp3
