Country,Genre,Radio ID,Radio logo,Radio Name,Stream URL
US,Rock,1967,91-the-call-radio.jpg,91 The Call Radio,http://74.208.214.139:8000/callfm.mp3
US,80s,2110,all-80s-music-show.jpg,All 80s Music Show,http://www.englandproxy.co.uk/streaming.radionomy.com/All80-sMusicShow
US,Classic,2111,all-classical-portland.jpg,All Classical Portland,http://allclassical-ice.streamguys.com/ac96kmp3?type=.mp3/;stream.mp3
US,Pop,2112,all-hits-station.jpg,All Hits Station,http://usa12.fastcast4u.com:5200/1
US,Classic,2113,all-mozart-on-wide-radius.jpg,All Mozart on Wide Radius,http://www.englandproxy.co.uk/listen.radionomy.com/AllMozartonWideRadius?type=.mp3/;stream.mp3
US,Hits,2114,all-noise-radio-music.jpg,All Noise Radio Music,http://listen.spacial.com/api/listen/?sid=72070&method=sc?type=.mp3/;stream.mp3
US,Comedy,2115,all-things-comedy.jpg,All Things Comedy,http://tunein.streamguys1.com/ATC
US,Classic,2116,allegro-fm.jpg,Allegro FM,http://192.254.105.36:8080/broadwavehigh.mp3?src=1?type=.mp3/;stream.mp3
US,50s,2117,alltime-oldies-radio.jpg,Alltime Oldies Radio,http://naxos.cdnstream.com/1296_128?type=.mp3/;stream.mp3
US,Reggae,2248,bigupradio-dancehall.jpg,BigupRadio Dancehall,http://radio.bigupradio.com:8000/;
US,Oldies,2295,boomer-radio-all-hit-oldies.jpg,Boomer Radio All Hit Oldies,http://boomerradio-ice.streamguys.com/boomerradio-hitoldies-32
US,Variety,2488,dallas-high-life-radio.jpg,Dallas High Life Radio,http://thassos.cdnstream.com:5252/;
US,Dance,2490,dancehall-link.jpg,Dancehall Link,http://99.198.118.250:8016/;stream.mp3
US,Music,2638,fireball-run-radio.jpg,Fireball Run Radio,http://173.198.239.99:8000/stream?type=.mp3/;stream.mp3
US,Music,2761,halloween-atmosphere.jpg,Halloween Atmosphere,http://listen.radionomy.com/HR_atmosphere_2012
US,Music,2762,halloween-kids.jpg,Halloween Kids,http://listen.radionomy.com/hr2011_kids-b
US,Music,2763,halloween-oldies.jpg,Halloween Oldies,http://listen.radionomy.com/HR_oldies_2012
US,Music ,2764,halloweenradio.jpg,Halloweenradio,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL0NoaWxsSGl0czRV
US,Music,2765,halloweenradio-newr.jpg,HalloweenRadio Newr,http://70.38.12.44:8502
US,Culture,2779,hawaii-calling.jpg,Hawaii Calling,http://www.englandproxy.co.uk/streaming.radionomy.com/HawaiiCalling?type=.mp3/;stream.mp3
US,Community,2989,kalaallit-nunaata-radioa.jpg,Kalaallit Nunaata Radioa,http://radio.knr.gl:8000/;stream.mp3
US,ESPN Sports,28266,kesn-espn-dallas-103-3-fm.jpg,KESN ESPN Dallas 103.3 FM,http://playerservices.streamtheworld.com/api/livestream-redirect/KESNFM.mp3
US,Music,28294,kfsq-valley-106-5.jpg,KFSQ Valley 106.5,http://playerservices.streamtheworld.com/api/livestream-redirect/KFSQAM.mp3
US,Music,3432,koql-fm-all-the-hits-q-106-1.jpg,KOQL FM All The Hits Q 106.1,http://playerservices.streamtheworld.com/api/livestream-redirect/KOQLFM.mp3
US,Rock,3923,metallica-fan-loop-radio.jpg,Metallica Fan Loop Radio,http://www.englandproxy.co.uk/streaming.radionomy.com/MetallicaFanLoopRadio?type=.mp3/;stream.mp3
US,AC,4122,pan-african-allstars-radio.jpg,Pan African Allstars Radio,http://tess.fast-serv.com:8580/;stream.mp3
US,Hits,4244,q103-all-the-hits.jpg,Q103 All The Hits,http://playerservices.streamtheworld.com/api/livestream-redirect/WJADFMAAC.aac
US,70s,4324,radio-exitos-dallas.jpg,Radio Exitos Dallas,http://63.246.55.215:8002/;stream.mp3
US,Music,4333,radio-fouta-djallon.jpg,Radio Fouta Djallon,http://198.178.123.8:8324/;stream.mp3
US,Classic,4545,rock-all-night.jpg,Rock All Night,http://ice1.securenetsystems.net/DEMOSTN?&playSessionID=F997AF82-FE32-26EF-D456EDEBAAF7DB11
US,Music,4780,tallahassee-fire-department.jpg,Tallahassee Fire Department,http://relay.broadcastify.com:80/771339103?type=.mp3/;stream.mp3
US,80s,4922,totally-80s-fm.jpg,Totally 80s FM,http://streaming.dragonstack.com:8000/stream?type=.mp3/;stream.mp3
US,Songs,4984,valley-free-radio.jpg,Valley Free Radio,http://valleyfree1.serverroom.us:5676/;
US,Urban/Gospel,29095,whal-hallelujah-95-7.jpg,WHAL Hallelujah 95.7,http://c10icyelb.prod.playlists.ihrhls.com/2137_icy
US,Music,5338,whhy-fm-101-9-all-the-hits-y102.jpg,WHHY FM 101.9 All The Hits Y102,http://playerservices.streamtheworld.com/api/livestream-redirect/WHHYFMAAC.aac
US,Urban/Gospel,29122,whlw-hallelujah-104-3.jpg,WHLW Hallelujah 104.3,http://c9icyelb.prod.playlists.ihrhls.com/4892_icy
US,Music,5518,wmgb-fm-all-the-hits-b-95-1.jpg,WMGB FM All The Hits B 95.1,http://playerservices.streamtheworld.com/api/livestream-redirect/WMGBFMAAC.aac
US,News,29553,wsan-espn-deportes-lehigh-valley-1470-am.jpg,WSAN ESPN Deportes Lehigh Valley 1470 AM,http://c4icyelb.prod.playlists.ihrhls.com/3348_icy
US,Oldies,5803,wvbo-fm-103-9-the-valley-s-best-oldie.jpg,WVBO FM 103.9 The Valley S Best Oldie,http://playerservices.streamtheworld.com/api/livestream-redirect/WVBOFMAAC.aac
