song,performer,count,year
Misery,Glee Cast,1,2011
Endless Summer Nights,Richard Marx,21,1988
I Had No Right,P.M. Dawn,10,1998
He Can't Love U,Jagged Edge,3,1999
No Sense,Justin Bieber Featuring Travi$ Scott,3,2015
Last Memory,TakeOff,2,2018
My Hometown,Bruce Springsteen,4,1985
Fibbin',Patti Page,9,1958
Lover Boy,Billy Ocean,5,1984
Eternal Flame,The Bangles,19,1989
Keep It Together,Madonna,13,1990
"My, My, My",Johnny Gill,16,1990
Keep Holding On,Glee Cast,1,2009
Eastside,"Benny Blanco, Halsey & Khalid",23,2018
If I Never See Your Face Again,Maroon 5 Featuring Rihanna,20,2008
Hole In My Soul,Aerosmith,11,1997
Give It Up To Me,Shakira Featuring Lil Wayne,5,2009
Kissin' You,Total,22,1996
Hopeless Wanderer,Mumford & Sons,1,2013
God's Country,Blake Shelton,11,2019
Lavender-Blue,Sammy Turner,18,1959
I Can't Tell You Why,Eagles,16,1980
Going Back To Cali,The Notorious B.I.G.,4,1997
Girl On TV,LFO,6,1999
Follow Your Arrow,Kacey Musgraves,1,2014
Itchy Twitchy Feeling,Bobby Hendricks,14,1958
For You,Rick Nelson,1,1963
Gimme Some Love,Gina G,11,1997
Never Had A Dream Come True,S Club 7,20,2001
Everytime,Britney Spears,18,2004
King Kunta,Kendrick Lamar,11,2015
"Happy Birthday, Sweet Sixteen",Neil Sedaka,8,1961
Glad To Be Unhappy,The Mamas & The Papas,7,1967
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,9,1971
Gangsta,Kehlani,12,2016
High School Confidential,Jerry Lee Lewis And His Pumping Piano,2,1958
I'll Take You There,The Staple Singers,15,1972
Masterpiece,The Temptations,14,1973
It's Good News Week,Hedgehoppers Anonymous,4,1965
I Know You,Lil Skies Featuring Yung Pinch,3,2018
One For The Money,Horace Brown,12,1996
Mellow Moonlight,Leon Haywood,2,1968
Funky Worm,Ohio Players,19,1973
Fade Away,Loz Netto,6,1983
Hey You! Little Boo-Ga-Loo,Chubby Checker,5,1966
Dream,Dinah Washington,2,1962
Love In Them There Hills,The Vibrations,2,1968
Nothing Left To Lose,Mat Kearney,8,2006
Hard To Handle,Patti Drew,2,1968
Gee,Jan & Dean,5,1960
Laughed Until We Cried,Jason Aldean,16,2008
"Old Times' Sake (From ""Above The Rim"")",Sweet Sable,3,1994
I Know Somebody,LOCASH,11,2016
I Wanna Thank You,The Enchanters,3,1964
I Never Felt Like This,Jack Scott,4,1959
Evil,"Earth, Wind & Fire",11,1973
I Can't Take It,Mary Ann Fisher,3,1961
Finally Got Myself Together (I'm A Changed Man),The Impressions,18,1974
More And More,Andy Williams,4,1967
