song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit,genres,broad_genre
Radioactive,Imagine Dragons,87,2010,Imagine Dragons,2012-09-04,Radioactive,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp,spotify:track:4G8gkOterJn0Ywt6uhqbhp,71,0.106,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,0.448,186813.0,0.784,0.000108,9.0,0.668,-3.686,1.0,0.0627,136.245,4.0,0.236,False,"['modern rock', 'rock']",rock
Sail,AWOLNATION,79,2010,AWOLNATION,2013-11-19,Sail,AWOLNATION,5xhQChGGhKLWqBqX4XhtYE,spotify:track:5xhQChGGhKLWqBqX4XhtYE,71,0.452,https://api.spotify.com/v1/audio-analysis/5xhQChGGhKLWqBqX4XhtYE,0.825,259102.0,0.435,0.609,1.0,0.0953,-9.582,1.0,0.0568,119.038,4.0,0.243,False,"['la indie', 'modern alternative rock', 'modern rock', 'pop rap', 'rock', 'stomp pop']",rock
Counting Stars,OneRepublic,68,2010,OneRepublic,2014-01-01,Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,72,0.0654,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,0.664,257840.0,0.705,0.0,1.0,0.115,-4.972,0.0,0.0382,122.017,4.0,0.477,False,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rap', 'pop rock']",pop
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,68,2010,LMFAO ,2011-01-01,Party Rock Anthem,LMFAO,0IkKz2J93C94Ei4BvDop7P,spotify:track:0IkKz2J93C94Ei4BvDop7P,64,0.0189,https://api.spotify.com/v1/audio-analysis/0IkKz2J93C94Ei4BvDop7P,0.75,262173.0,0.727,0.0,5.0,0.266,-4.21,0.0,0.142,129.993,4.0,0.359,False,"['dance pop', 'pop', 'pop rap']",pop
Rolling In The Deep,Adele,65,2010,Adele,2011-01-19,Rolling in the Deep,Adele,1CkvWZme3pRgbzaxZnTl5X,spotify:track:1CkvWZme3pRgbzaxZnTl5X,72,0.131,https://api.spotify.com/v1/audio-analysis/1CkvWZme3pRgbzaxZnTl5X,0.729,228293.0,0.756,0.0,8.0,0.0527,-5.119,1.0,0.0294,104.945,4.0,0.522,False,"['british soul', 'pop', 'uk pop']",pop
Ho Hey,The Lumineers,62,2010,The Lumineers,2012-04-03,Ho Hey,The Lumineers,0W4Kpfp1w2xkY3PrV714B7,spotify:track:0W4Kpfp1w2xkY3PrV714B7,68,0.794,https://api.spotify.com/v1/audio-analysis/0W4Kpfp1w2xkY3PrV714B7,0.685,163133.0,0.466,2.06e-06,0.0,0.0915,-9.074,1.0,0.0304,79.936,4.0,0.353,False,"['folk-pop', 'indie folk', 'modern rock', 'stomp and holler']",unknown
Demons,Imagine Dragons,61,2010,Imagine Dragons,2012-09-04,Demons,Imagine Dragons,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,71,0.19,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,0.505,175200.0,0.71,0.00025,3.0,0.329,-3.015,1.0,0.0321,89.938,4.0,0.428,False,"['modern rock', 'rock']",rock
Somebody That I Used To Know,Gotye Featuring Kimbra,59,2010,Gotye ,2011-01-01,Somebody That I Used To Know,Gotye,4wCmqSrbyCgxEXROQE6vtV,spotify:track:4wCmqSrbyCgxEXROQE6vtV,73,0.565,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,0.857,244973.0,0.517,0.000195,0.0,0.102,-6.972,1.0,0.0384,129.063,4.0,0.754,False,['australian pop'],pop
All Of Me,John Legend,59,2010,John Legend,2013-08-30,All of Me,John Legend,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,83,0.922,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,0.422,269560.0,0.264,0.0,8.0,0.132,-7.064,1.0,0.0322,119.93,4.0,0.331,False,"['neo mellow', 'neo soul', 'pop', 'r&b', 'urban contemporary']",pop
Shape Of You,Ed Sheeran,58,2010,Ed Sheeran,2017-03-03,Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,85,0.581,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,233713.0,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,4.0,0.931,False,"['pop', 'uk pop']",pop
Thinking Out Loud,Ed Sheeran,58,2010,Ed Sheeran,2014-06-21,Thinking out Loud,Ed Sheeran,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,81,0.474,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,0.781,281560.0,0.445,0.0,2.0,0.184,-6.061,1.0,0.0295,78.998,4.0,0.591,False,"['pop', 'uk pop']",pop
Dark Horse,Katy Perry Featuring Juicy J,57,2010,Katy Perry ,2013-01-01,Dark Horse,Katy Perry,5jrdCoLpJSvHHorevXBATy,spotify:track:5jrdCoLpJSvHHorevXBATy,76,0.00314,https://api.spotify.com/v1/audio-analysis/5jrdCoLpJSvHHorevXBATy,0.645,215672.0,0.585,0.0,6.0,0.165,-6.122,1.0,0.0513,131.931,4.0,0.353,False,"['dance pop', 'pop', 'post-teen pop']",pop
Lights,Ellie Goulding,57,2010,Ellie Goulding,2010,Lights - Single Version,Ellie Goulding,7gUpO6td4OOnu0Lf9vhcIV,spotify:track:7gUpO6td4OOnu0Lf9vhcIV,60,0.0283,https://api.spotify.com/v1/audio-analysis/7gUpO6td4OOnu0Lf9vhcIV,0.683,211800.0,0.789,0.0492,8.0,0.112,-6.132,0.0,0.0353,120.013,4.0,0.809,False,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'tropical house']",pop
