name,playcount,listeners,url,artist
bad guy,3606895,327130,https://www.last.fm/music/Billie+Eilish/_/bad+guy,"{'name': 'Billie Eilish', 'mbid': '', 'url': 'https://www.last.fm/music/Billie+Eilish'}"
Norman Fucking Rockwell,380585,105253,https://www.last.fm/music/Lana+Del+Rey/_/Norman+Fucking+Rockwell,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Doin' Time,1086317,134608,https://www.last.fm/music/Lana+Del+Rey/_/Doin%27+Time,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Lover,1256176,96420,https://www.last.fm/music/Taylor+Swift/_/Lover,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
Fuck It I Love You,487771,94860,https://www.last.fm/music/Lana+Del+Rey/_/Fuck+It+I+Love+You,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Mariners Apartment Complex,1210205,144912,https://www.last.fm/music/Lana+Del+Rey/_/Mariners+Apartment+Complex,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Señorita,2320813,152250,https://www.last.fm/music/Shawn+Mendes/_/Se%C3%B1orita,"{'name': 'Shawn Mendes', 'mbid': 'b7d92248-97e3-4450-8057-6fe06738f735', 'url': 'https://www.last.fm/music/Shawn+Mendes'}"
Fear Inoculum,439639,87662,https://www.last.fm/music/Tool/_/Fear+Inoculum,"{'name': 'Tool', 'mbid': 'bbfa1e12-8b61-4ed8-bc6e-52d2298f41a2', 'url': 'https://www.last.fm/music/Tool'}"
Venice Bitch,911071,122030,https://www.last.fm/music/Lana+Del+Rey/_/Venice+Bitch,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
You Need to Calm Down,2075684,133187,https://www.last.fm/music/Taylor+Swift/_/You+Need+to+Calm+Down,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
Love Song,311434,78114,https://www.last.fm/music/Lana+Del+Rey/_/Love+Song,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Cinnamon Girl,362313,76961,https://www.last.fm/music/Lana+Del+Rey/_/Cinnamon+Girl,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
The greatest,405644,75067,https://www.last.fm/music/Lana+Del+Rey/_/The+greatest,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
Truth Hurts,1243263,142916,https://www.last.fm/music/Lizzo/_/Truth+Hurts,"{'name': 'Lizzo', 'mbid': '50d06c43-5392-4393-ba2d-f091d8167227', 'url': 'https://www.last.fm/music/Lizzo'}"
The Man,550542,73481,https://www.last.fm/music/Taylor+Swift/_/The+Man,"{'name': 'Taylor Swift', 'mbid': '20244d07-534f-4eff-b4d4-930878889970', 'url': 'https://www.last.fm/music/Taylor+Swift'}"
How to disappear,274570,71998,https://www.last.fm/music/Lana+Del+Rey/_/How+to+disappear,"{'name': 'Lana Del Rey', 'mbid': 'b7539c32-53e7-4908-bda3-81449c367da6', 'url': 'https://www.last.fm/music/Lana+Del+Rey'}"
